photos,comments,likes,text
"[{""cdn"":""upyun"",""filename"":""7c2fd0.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/21/bfeedaa3408340c48018a8eecbab4c44.jpg""}]",[],,今天和大家一起重回泳池，希望大家在之后的游泳、铁三比赛中取得好成绩！
"[{""cdn"":""upyun"",""filename"":""7c2fd0.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/21/bfeedaa3408340c48018a8eecbab4c44.jpg""}]",[],,今天和大家一起重回泳池，希望大家在之后的游泳、铁三比赛中取得好成绩！
[],[],,游起來！
"[{""cdn"":""upyun"",""filename"":""dba1bf.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/21/3647c80b4062b4a7809541597ba1ab0c.jpg""}]",[],,怎么这么美？迫不及待穿上去游泳
"[{""cdn"":""upyun"",""filename"":""7c49f5.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/21/62fef18440db7d67800c0afa92764c6e.jpg""}]",[],,游泳就是这么开心!
"[{""cdn"":""upyun"",""filename"":""fc1c79.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/27/41c16085408d6b8a805d2e79544f5bea.jpg""}]",[],[],Nabaiji 游你更精彩
"[{""cdn"":""upyun"",""filename"":""545ac3.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/27/014033954006d1f88086f9355fc30214.jpg""}]",[],[],CM的一天😅
"[{""cdn"":""upyun"",""filename"":""0169ea.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/05/30/938f130b4073548d80fcf43dc194d86a.jpg""}]",[],[],go!go!go!
"[{""cdn"":""upyun"",""filename"":""a19d37.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/06/04/d31a76a8406195378012b5b0a2a1c6ed.jpg""}]",[],[],随意配图的游泳卡😂
"[{""cdn"":""upyun"",""filename"":""e75f23.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/06/04/7562e144401ba56280ee56d1442c59cf.jpg""}]",[],[],孩子们。嗨起来
[],[],[],
"[{""cdn"":""upyun"",""filename"":""d2ffa6.jpg"",""url"":""http://bmob-cdn-24905.b0.upaiyun.com/2019/06/04/6d64656e4094d73b808effead25fd1cb.jpg""}]",[],[],李教练沿岸教学(李教练的剪刀手)
